python3 main.py
Hello World!
(0.013449481572491134, 0.00017952325178913976)
Iteration 0-0, k: 10, rho: 0.5
Lambda: 250.0
Q size: 0.019309262166405022
Packets generated: 1243
Proportion of packets lost: 0.9774738535800482
Observer: 0.5152401092683614 0
Dropped: 0.5154690176436723 0
Dropped: 0.5160983235502875 0
Observer: 0.5170935298545745 0
Observer: 0.5172029000499138 0
Observer: 0.5175025810174012 0
Observer: 0.5179969098659009 0
Dropped: 0.5181667133304864 0
Observer: 0.5231049150710005 0
Observer: 0.523502029429184 0
Dropped: 0.5235198678240974 0
Observer: 0.5235389169098206 0
Observer: 0.5238592767565832 0
Observer: 0.5240889915994258 0
Observer: 0.5251192414064062 0
Observer: 0.5255603728576737 0
Observer: 0.5261965941907985 0
Observer: 0.5267658696385517 0
Observer: 0.5277250908057625 0
Observer: 0.5278306186724766 0
Observer: 0.5280225534276377 0
Observer: 0.5283096281499784 0
Dropped: 0.5289901741318329 0
